0; 0; 0; 
0,1; 0,064592; 1,23091; 
0,2; 0,231322; 2,02486; 
0,3; 0,453052; 2,3327; 
0,4; 0,683622; 2,21996; 
0,5; 0,887593; 1,82592; 
0,6; 0,999956; 0,230228; 
0,7; 0,943882; -1,29146; 
0,8; 0,755583; -2,39806; 
0,9; 0,48152; -2,99197; 
1; 0,176561; -3,01405; 
1,1; -0,103656; -2,51692; 
1,2; -0,315123; -1,67367; 
1,3; -0,434178; -0,703543; 
1,4; -0,458032; 0,203744; 
1,5; -0,400116; 0,914403; 
1,6; -0,284536; 1,34805; 
1,7; -0,140844; 1,47651; 
1,8; 0,00133136; 1,32641; 
1,9; 0,117527; 0,971872; 
2; 0,19219; 0,51272; 
2,1; 0,219931; 0,0485308; 
2,2; 0,204485; -0,3399; 
2,3; 0,156322; -0,599678; 
2,4; 0,08966; -0,708754; 
2,5; 0,0194193; -0,674663; 
2,6; -0,0414953; -0,528844; 
2,7; -0,0841267; -0,317046; 
2,8; -0,104346; -0,0883407; 
2,9; -0,102689; 0,11432; 
3; -0,0834072; 0,260385; 
3,1; -0,0530498; 0,334617; 
3,2; -0,0189188; 0,336977; 
3,3; 0,0123388; 0,280004; 
3,4; 0,0357786; 0,184394; 
3,5; 0,0487191; 0,0738745; 
3,6; 0,0508006; -0,0295343; 
3,7; 0,043626; -0,109058; 
3,8; 0,0301249; -0,155129; 
3,9; 0,0138021; -0,165743; 
4; -0,00197802; -0,145457; 
4,1; -0,0145546; -0,103411; 
4,2; -0,0223088; -0,0508999; 
4,3; -0,0247584; 0,00100042; 
4,4; -0,0224356; 0,0433271; 
4,5; -0,0166108; 0,0704145; 
4,6; -0,0089365; 0,0802859; 
4,7; -0,00108939; 0,0743319; 
4,8; 0,00552716; 0,0564589; 
4,9; 0,00997906; 0,0319506; 
5; 0,0118799; 0,00629408; 
5,1; 0,0113593; -0,0158167; 
5,2; 0,00894679; -0,031158; 
5,3; 0,0054068; -0,0382731; 
5,4; 0,00156247; -0,0374077; 
5,5; -0,00185888; -0,030158; 
5,6; -0,00433562; -0,018948; 
5,7; -0,00560574; -0,00645484; 
5,8; -0,00566567; 0,00490451; 
5,9; -0,00472408; 0,0133492; 
6; -0,00312698; 0,0179305; 
6,1; -0,00127233; 0,0185469; 
6,2; 0,000468923; 0,0158087; 
6,3; 0,00181286; 0,0108021; 
6,4; 0,00259643; 0,00481341; 
6,5; 0,00278411; -0,000932451; 
6,6; 0,00245098; -0,00547474; 
6,7; 0,00174962; -0,00823717; 
6,8; 0,000869337; -0,00905905; 
6,9; -3,53989e-06; -0,00814807; 
7; -0,000717727; -0,00597733; 
7,1; -0,00117708; -0,00315453; 
7,2; -0,00134743; -0,000291337; 
7,3; -0,00125133; 0,0021043; 
7,4; -0,00095383; 0,00369816; 
7,5; -0,000543423; 0,00435674; 
7,6; -0,000112317; 0,00413426; 
7,7; 0,000260359; 0,00322918; 
7,8; 0,00052002; 0,00192336; 
7,9; 0,000641732; 0,000517707; 
8; 0,000629192; -0,000723918; 
8,1; 0,000508906; -0,00161411; 
8,2; 0,000321418; -0,00206087; 
8,3; 0,000111681; -0,00206636; 
8,4; -7,96017e-05; -0,00170955; 
8,5; -0,000222326; -0,00111843; 
8,6; -0,00030033; -0,000438797; 
8,7; -0,000311693; 0,000194488; 
8,8; -0,000266498; 0,000679083; 
8,9; -0,000182889; 0,000957181; 
9; -8,24414e-05; 0,00101755; 
9,1; 1,42309e-05; 0,000889063; 
9,2; 9,09083e-05; 0,000628387; 
9,3; 0,000137804; 0,000305041; 
9,4; 0,000152112; -1,30875e-05; 
9,5; 0,000137231; -0,000271317; 
9,6; 0,00010105; -0,000435342; 
9,7; 5,37514e-05; -0,000493542; 
9,8; 5,61965e-06; -0,000454904; 
9,9; -3,47784e-05; -0,000343721; 
10; -6,17795e-05; -0,000192571; 
