t;T_B;V_B
1159;20.2419;1.07778
1160;20.2397;1.0774
1161;20.2375;1.07702
1162;20.2353;1.07664
1163;20.2331;1.07626
1164;20.2309;1.07589
1165;20.2288;1.07552
1166;20.2266;1.07515
1167;20.2245;1.07478
1168;20.2224;1.07441
1169;20.2204;1.07405
1170;20.2183;1.07368
1171;20.2163;1.07332
1172;20.2143;1.07296
1173;20.2123;1.0726
1174;20.2103;1.07225
1175;20.2083;1.07189
1176;20.2064;1.07154
1177;20.2045;1.07119
1178;20.2025;1.07084
1179;20.2007;1.07049
1180;20.1988;1.07014
1181;20.1969;1.0698
1182;20.1951;1.06945
1183;20.1933;1.06911
1184;20.1914;1.06877
1185;20.1897;1.06843
1186;20.1879;1.0681
1187;20.1861;1.06776
1188;20.1844;1.06743
1189;20.1826;1.0671
1190;20.1809;1.06677
1191;20.1792;1.06644
1192;20.1776;1.06611
1193;20.1759;1.06579
1194;20.1742;1.06546
1195;20.1726;1.06514
1196;20.171;1.06482
1197;20.1694;1.0645
1198;20.1678;1.06418
1199;20.1662;1.06387
1200;20.1646;1.06355
1201;20.1631;1.06324
1202;20.1616;1.06293
1203;20.16;1.06262
1204;20.1585;1.06231
1205;20.157;1.06201
1206;20.1556;1.0617
1207;20.1541;1.0614
1208;20.1526;1.06109
1209;20.1512;1.06079
1210;20.1498;1.06049
1211;20.1484;1.0602
1212;20.147;1.0599
1213;20.1456;1.0596
1214;20.1442;1.05931
1215;20.1428;1.05902
1216;20.1415;1.05873
1217;20.1402;1.05844
1218;20.1388;1.05815
1219;20.1375;1.05786
1220;20.1362;1.05758
1221;20.1349;1.05729
1222;20.1337;1.05701
1223;20.1324;1.05673
1224;20.1311;1.05645
1225;20.1299;1.05617
1226;20.1287;1.05589
1227;20.1274;1.05562
1228;20.1262;1.05534
1229;20.125;1.05507
1230;20.1239;1.0548
1231;20.1227;1.05453
1232;20.1215;1.05426
1233;20.1204;1.05399
1234;20.1192;1.05373
1235;20.1181;1.05346
1236;20.117;1.0532
1237;20.1159;1.05294
1238;20.1148;1.05267
1239;20.1137;1.05241
1240;20.1126;1.05216
1241;20.1115;1.0519
1242;20.1105;1.05164
1243;20.1094;1.05139
1244;20.1084;1.05113
1245;20.1073;1.05088
1246;20.1063;1.05063
1247;20.1053;1.05038
1248;20.1043;1.05013
1249;20.1033;1.04988
1250;20.1023;1.04964
1251;20.1013;1.04939
1252;20.1004;1.04915
1253;20.0994;1.0489
1254;20.0985;1.04866
1255;20.0975;1.04842
1256;20.0966;1.04818
1257;20.0957;1.04795
1258;20.0948;1.04771
1259;20.0939;1.04747
1260;20.093;1.04724
1261;20.0921;1.047
1262;20.0912;1.04677
1263;20.0903;1.04654
1264;20.0895;1.04631
1265;20.0886;1.04608
1266;20.0878;1.04585
1267;20.0869;1.04563
1268;20.0861;1.0454
1269;20.0853;1.04518
1270;20.0845;1.04495
1271;20.0836;1.04473
1272;20.0828;1.04451
1273;20.0821;1.04429
1274;20.0813;1.04407
1275;20.0805;1.04385
1276;20.0797;1.04364
1277;20.079;1.04342
1278;20.0782;1.04321
1279;20.0774;1.04299
1280;20.0767;1.04278
1281;20.076;1.04257
1282;20.0752;1.04236
1283;20.0745;1.04215
1284;20.0738;1.04194
1285;20.0731;1.04173
1286;20.0724;1.04153
1287;20.0717;1.04132
1288;20.071;1.04112
1289;20.0703;1.04091
1290;20.0696;1.04071
1291;20.069;1.04051
1292;20.0683;1.04031
1293;20.0677;1.04011
1294;20.067;1.03991
1295;20.0664;1.03971
1296;20.0657;1.03951
1297;20.0651;1.03932
1298;20.0645;1.03912
1299;20.0638;1.03893
1300;20.0632;1.03874
1301;20.0626;1.03855
1302;20.062;1.03836
1303;20.0614;1.03817
1304;20.0608;1.03798
1305;20.0602;1.03779
1306;20.0597;1.0376
1307;20.0591;1.03741
1308;20.0585;1.03723
1309;20.058;1.03704
1310;20.0574;1.03686
1311;20.0568;1.03668
1312;20.0563;1.0365
1313;20.0558;1.03632
1314;20.0552;1.03614
1315;20.0547;1.03596
1316;20.0542;1.03578
1317;20.0536;1.0356
1318;20.0531;1.03543
1319;20.0526;1.03525
1320;20.0521;1.03507
1321;20.0516;1.0349
1322;20.0511;1.03473
1323;20.0506;1.03456
1324;20.0501;1.03438
1325;20.0496;1.03421
1326;20.0491;1.03404
1327;20.0487;1.03388
1328;20.0482;1.03371
1329;20.0477;1.03354
1330;20.0473;1.03337
1331;20.0468;1.03321
1332;20.0464;1.03304
1333;20.0459;1.03288
1334;20.0455;1.03272
1335;20.045;1.03256
1336;20.0446;1.03239
1337;20.0442;1.03223
1338;20.0437;1.03207
1339;20.0433;1.03191
1340;20.0429;1.03176
1341;20.0425;1.0316
1342;20.0421;1.03144
1343;20.0416;1.03129
1344;20.0412;1.03113
1345;20.0408;1.03098
1346;20.0404;1.03082
1347;20.0401;1.03067
1348;20.0397;1.03052
1349;20.0393;1.03037
1350;20.0389;1.03021
1351;20.0385;1.03006
1352;20.0381;1.02992
1353;20.0378;1.02977
1354;20.0374;1.02962
1355;20.037;1.02947
1356;20.0367;1.02933
1357;20.0363;1.02918
1358;20.036;1.02904
1359;20.0356;1.02889
1360;20.0353;1.02875
1361;20.0349;1.02861
1362;20.0346;1.02846
1363;20.0343;1.02832
1364;20.0339;1.02818
1365;20.0336;1.02804
1366;20.0333;1.0279
1367;20.0329;1.02776
1368;20.0326;1.02763
1369;20.0323;1.02749
1370;20.032;1.02735
1371;20.0317;1.02722
1372;20.0314;1.02708
1373;20.0311;1.02695
1374;20.0308;1.02681
1375;20.0305;1.02668
1376;20.0302;1.02655
1377;20.0299;1.02642
1378;20.0296;1.02628
1379;20.0293;1.02615
1380;20.029;1.02602
1381;20.0287;1.02589
1382;20.0285;1.02577
1383;20.0282;1.02564
1384;20.0279;1.02551
1385;20.0276;1.02538
1386;20.0274;1.02526
1387;20.0271;1.02513
1388;20.0268;1.02501
1389;20.0266;1.02488
1390;20.0263;1.02476
1391;20.026;1.02464
1392;20.0258;1.02451
1393;20.0255;1.02439
1394;20.0253;1.02427
1395;20.025;1.02415
1396;20.0248;1.02403
1397;20.0246;1.02391
1398;20.0243;1.02379
1399;20.0241;1.02367
1400;20.0238;1.02356
1401;20.0236;1.02344
1402;20.0234;1.02332
1403;20.0232;1.02321
1404;20.0229;1.02309
1405;20.0227;1.02298
1406;20.0225;1.02286
1407;20.0223;1.02275
1408;20.022;1.02264
1409;20.0218;1.02252
1410;20.0216;1.02241
1411;20.0214;1.0223
1412;20.0212;1.02219
1413;20.021;1.02208
1414;20.0208;1.02197
1415;20.0206;1.02186
1416;20.0204;1.02175
1417;20.0202;1.02164
1418;20.02;1.02153
1419;20.0198;1.02143
1420;20.0196;1.02132
1421;20.0194;1.02122
1422;20.0192;1.02111
1423;20.019;1.021
1424;20.0188;1.0209
1425;20.0186;1.0208
1426;20.0185;1.02069
1427;20.0183;1.02059
1428;20.0181;1.02049
1429;20.0179;1.02039
1430;20.0178;1.02028
1431;20.0176;1.02018
1432;20.0174;1.02008
1433;20.0172;1.01998
1434;20.0171;1.01988
1435;20.0169;1.01978
1436;20.0167;1.01969
1437;20.0166;1.01959
1438;20.0164;1.01949
1439;20.0162;1.01939
1440;20.0161;1.0193
1441;20.0159;1.0192
1442;20.0158;1.01911
1443;20.0156;1.01901
1444;20.0155;1.01892
1445;20.0153;1.01882
1446;20.0152;1.01873
1447;20.015;1.01864
1448;20.0149;1.01854
1449;20.0147;1.01845
1450;20.0146;1.01836
1451;20.0144;1.01827
1452;20.0143;1.01818
1453;20.0142;1.01809
1454;20.014;1.018
1455;20.0139;1.01791
1456;20.0137;1.01782
1457;20.0136;1.01773
1458;20.0135;1.01764
1459;20.0133;1.01755
1460;20.0132;1.01746
1461;20.0131;1.01738
1462;20.0129;1.01729
1463;20.0128;1.01721
1464;20.0127;1.01712
1465;20.0126;1.01703
1466;20.0124;1.01695
1467;20.0123;1.01687
1468;20.0122;1.01678
1469;20.0121;1.0167
1470;20.012;1.01661
1471;20.0118;1.01653
1472;20.0117;1.01645
1473;20.0116;1.01637
1474;20.0115;1.01629
1475;20.0114;1.01621
1476;20.0113;1.01612
1477;20.0112;1.01604
1478;20.0111;1.01596
1479;20.0109;1.01588
1480;20.0108;1.01581
1481;20.0107;1.01573
1482;20.0106;1.01565
1483;20.0105;1.01557
1484;20.0104;1.01549
1485;20.0103;1.01542
1486;20.0102;1.01534
1487;20.0101;1.01526
1488;20.01;1.01519
1489;20.0099;1.01511
1490;20.0098;1.01504
1491;20.0097;1.01496
1492;20.0096;1.01489
1493;20.0095;1.01481
1494;20.0094;1.01474
1495;20.0093;1.01467
1496;20.0092;1.01459
1497;20.0092;1.01452
1498;20.0091;1.01445
1499;20.009;1.01438
1500;20.0089;1.0143
1501;20.0088;1.01423
1502;20.0087;1.01416
1503;20.0086;1.01409
1504;20.0085;1.01402
1505;20.0085;1.01395
1506;20.0084;1.01388
1507;20.0083;1.01381
1508;20.0082;1.01374
1509;20.0081;1.01367
1510;20.0081;1.01361
1511;20.008;1.01354
1512;20.0079;1.01347
1513;20.0078;1.0134
1514;20.0077;1.01334
1515;20.0077;1.01327
1516;20.0076;1.01321
1517;20.0075;1.01314
1518;20.0074;1.01307
1519;20.0074;1.01301
1520;20.0073;1.01294
1521;20.0072;1.01288
1522;20.0071;1.01282
1523;20.0071;1.01275
1524;20.007;1.01269
1525;20.0069;1.01262
1526;20.0069;1.01256
1527;20.0068;1.0125
1528;20.0067;1.01244
1529;20.0067;1.01237
1530;20.0066;1.01231
1531;20.0065;1.01225
1532;20.0065;1.01219
1533;20.0064;1.01213
1534;20.0063;1.01207
1535;20.0063;1.01201
1536;20.0062;1.01195
1537;20.0062;1.01189
1538;20.0061;1.01183
1539;20.006;1.01177
1540;20.006;1.01171
1541;20.0059;1.01165
1542;20.0059;1.0116
1543;20.0058;1.01154
1544;20.0057;1.01148
1545;20.0057;1.01142
1546;20.0056;1.01137
1547;20.0056;1.01131
1548;20.0055;1.01125
1549;20.0055;1.0112
1550;20.0054;1.01114
1551;20.0054;1.01109
1552;20.0053;1.01103
1553;20.0053;1.01098
1554;20.0052;1.01092
1555;20.0051;1.01087
1556;20.0051;1.01081
1557;20.005;1.01076
1558;20.005;1.01071
1559;20.0049;1.01065
1560;20.0049;1.0106
1561;20.0049;1.01055
1562;20.0048;1.01049
1563;20.0048;1.01044
1564;20.0047;1.01039
1565;20.0047;1.01034
1566;20.0046;1.01029
1567;20.0046;1.01023
1568;20.0045;1.01018
1569;20.0045;1.01013
1570;20.0044;1.01008
1571;20.0044;1.01003
1572;20.0043;1.00998
1573;20.0043;1.00993
1574;20.0043;1.00988
1575;20.0042;1.00983
1576;20.0042;1.00978
1577;20.0041;1.00974
1578;20.0041;1.00969
1579;20.0041;1.00964
1580;20.004;1.00959
1581;20.004;1.00954
1582;20.0039;1.0095
1583;20.0039;1.00945
1584;20.0039;1.0094
1585;20.0038;1.00935
1586;20.0038;1.00931
1587;20.0037;1.00926
1588;20.0037;1.00921
1589;20.0037;1.00917
1590;20.0036;1.00912
1591;20.0036;1.00908
1592;20.0036;1.00903
1593;20.0035;1.00899
1594;20.0035;1.00894
1595;20.0035;1.0089
1596;20.0034;1.00885
1597;20.0034;1.00881
1598;20.0034;1.00877
1599;20.0033;1.00872
1600;20.0033;1.00868
1601;20.0033;1.00863
1602;20.0032;1.00859
1603;20.0032;1.00855
1604;20.0032;1.00851
1605;20.0031;1.00846
1606;20.0031;1.00842
1607;20.0031;1.00838
1608;20.003;1.00834
1609;20.003;1.0083
1610;20.003;1.00825
1611;20.0029;1.00821
1612;20.0029;1.00817
1613;20.0029;1.00813
1614;20.0029;1.00809
1615;20.0028;1.00805
1616;20.0028;1.00801
1617;20.0028;1.00797
1618;20.0028;1.00793
1619;20.0027;1.00789
1620;20.0027;1.00785
1621;20.0027;1.00781
1622;20.0026;1.00777
1623;20.0026;1.00773
1624;20.0026;1.0077
1625;20.0026;1.00766
1626;20.0025;1.00762
1627;20.0025;1.00758
1628;20.0025;1.00754
1629;20.0025;1.00751
1630;20.0024;1.00747
1631;20.0024;1.00743
1632;20.0024;1.00739
1633;20.0024;1.00736
1634;20.0023;1.00732
1635;20.0023;1.00728
1636;20.0023;1.00725
1637;20.0023;1.00721
1638;20.0023;1.00718
1639;20.0022;1.00714
1640;20.0022;1.0071
1641;20.0022;1.00707
1642;20.0022;1.00703
1643;20.0021;1.007
1644;20.0021;1.00696
1645;20.0021;1.00693
1646;20.0021;1.00689
1647;20.0021;1.00686
1648;20.002;1.00683
1649;20.002;1.00679
1650;20.002;1.00676
1651;20.002;1.00672
1652;20.002;1.00669
1653;20.0019;1.00666
1654;20.0019;1.00662
1655;20.0019;1.00659
1656;20.0019;1.00656
1657;20.0019;1.00653
1658;20.0018;1.00649
1659;20.0018;1.00646
1660;20.0018;1.00643
1661;20.0018;1.0064
1662;20.0018;1.00636
1663;20.0018;1.00633
1664;20.0017;1.0063
1665;20.0017;1.00627
1666;20.0017;1.00624
1667;20.0017;1.00621
1668;20.0017;1.00618
1669;20.0017;1.00615
1670;20.0016;1.00611
1671;20.0016;1.00608
1672;20.0016;1.00605
1673;20.0016;1.00602
1674;20.0016;1.00599
1675;20.0016;1.00596
1676;20.0015;1.00593
1677;20.0015;1.0059
1678;20.0015;1.00587
1679;20.0015;1.00585
1680;20.0015;1.00582
1681;20.0015;1.00579
1682;20.0015;1.00576
1683;20.0014;1.00573
1684;20.0014;1.0057
1685;20.0014;1.00567
1686;20.0014;1.00564
1687;20.0014;1.00562
1688;20.0014;1.00559
1689;20.0014;1.00556
1690;20.0013;1.00553
1691;20.0013;1.0055
1692;20.0013;1.00548
1693;20.0013;1.00545
1694;20.0013;1.00542
1695;20.0013;1.0054
1696;20.0013;1.00537
1697;20.0012;1.00534
1698;20.0012;1.00532
1699;20.0012;1.00529
1700;20.0012;1.00526
1701;20.0012;1.00524
1702;20.0012;1.00521
1703;20.0012;1.00518
1704;20.0012;1.00516
1705;20.0012;1.00513
1706;20.0011;1.00511
1707;20.0011;1.00508
1708;20.0011;1.00506
1709;20.0011;1.00503
1710;20.0011;1.00501
1711;20.0011;1.00498
1712;20.0011;1.00496
1713;20.0011;1.00493
1714;20.0011;1.00491
1715;20.001;1.00488
1716;20.001;1.00486
1717;20.001;1.00483
1718;20.001;1.00481
1719;20.001;1.00478
1720;20.001;1.00476
1721;20.001;1.00474
1722;20.001;1.00471
1723;20.001;1.00469
1724;20.001;1.00467
1725;20.0009;1.00464
1726;20.0009;1.00462
1727;20.0009;1.0046
1728;20.0009;1.00457
1729;20.0009;1.00455
1730;20.0009;1.00453
1731;20.0009;1.00451
1732;20.0009;1.00448
1733;20.0009;1.00446
1734;20.0009;1.00444
1735;20.0009;1.00442
1736;20.0008;1.00439
1737;20.0008;1.00437
1738;20.0008;1.00435
1739;20.0008;1.00433
1740;20.0008;1.00431
1741;20.0008;1.00429
1742;20.0008;1.00426
1743;20.0008;1.00424
1744;20.0008;1.00422
1745;20.0008;1.0042
1746;20.0008;1.00418
1747;20.0008;1.00416
1748;20.0008;1.00414
1749;20.0007;1.00412
1750;20.0007;1.0041
1751;20.0007;1.00408
1752;20.0007;1.00406
1753;20.0007;1.00404
1754;20.0007;1.00402
1755;20.0007;1.004
1756;20.0007;1.00398
1757;20.0007;1.00396
1758;20.0007;1.00394
1759;20.0007;1.00392
1760;20.0007;1.0039
1761;20.0007;1.00388
1762;20.0007;1.00386
1763;20.0006;1.00384
1764;20.0006;1.00382
1765;20.0006;1.0038
1766;20.0006;1.00378
1767;20.0006;1.00376
1768;20.0006;1.00374
1769;20.0006;1.00373
1770;20.0006;1.00371
1771;20.0006;1.00369
1772;20.0006;1.00367
1773;20.0006;1.00365
1774;20.0006;1.00363
1775;20.0006;1.00362
1776;20.0006;1.0036
1777;20.0006;1.00358
1778;20.0006;1.00356
1779;20.0006;1.00354
1780;20.0005;1.00353
1781;20.0005;1.00351
1782;20.0005;1.00349
1783;20.0005;1.00347
1784;20.0005;1.00346
1785;20.0005;1.00344
1786;20.0005;1.00342
1787;20.0005;1.0034
1788;20.0005;1.00339
1789;20.0005;1.00337
1790;20.0005;1.00335
1791;20.0005;1.00334
1792;20.0005;1.00332
1793;20.0005;1.0033
1794;20.0005;1.00329
1795;20.0005;1.00327
1796;20.0005;1.00325
1797;20.0005;1.00324
1798;20.0005;1.00322
1799;20.0005;1.00321
1800;20.0004;1.00319
1801;20.0004;1.00317
1802;20.0004;1.00316
1803;20.0004;1.00314
1804;20.0004;1.00313
1805;20.0004;1.00311
1806;20.0004;1.0031
1807;20.0004;1.00308
1808;20.0004;1.00306
1809;20.0004;1.00305
1810;20.0004;1.00303
1811;20.0004;1.00302
1812;20.0004;1.003
1813;20.0004;1.00299
1814;20.0004;1.00297
1815;20.0004;1.00296
1816;20.0004;1.00294
1817;20.0004;1.00293
1818;20.0004;1.00292
1819;20.0004;1.0029
1820;20.0004;1.00289
1821;20.0004;1.00287
1822;20.0004;1.00286
1823;20.0004;1.00284
1824;20.0004;1.00283
1825;20.0003;1.00281
1826;20.0003;1.0028
1827;20.0003;1.00279
1828;20.0003;1.00277
1829;20.0003;1.00276
1830;20.0003;1.00275
1831;20.0003;1.00273
1832;20.0003;1.00272
1833;20.0003;1.0027
1834;20.0003;1.00269
1835;20.0003;1.00268
1836;20.0003;1.00266
1837;20.0003;1.00265
1838;20.0003;1.00264
1839;20.0003;1.00262
1840;20.0003;1.00261
1841;20.0003;1.0026
1842;20.0003;1.00259
1843;20.0003;1.00257
1844;20.0003;1.00256
1845;20.0003;1.00255
1846;20.0003;1.00253
1847;20.0003;1.00252
1848;20.0003;1.00251
1849;20.0003;1.0025
1850;20.0003;1.00248
1851;20.0003;1.00247
1852;20.0003;1.00246
1853;20.0003;1.00245
1854;20.0003;1.00243
1855;20.0003;1.00242
1856;20.0003;1.00241
1857;20.0003;1.0024
1858;20.0002;1.00239
1859;20.0002;1.00237
1860;20.0002;1.00236
1861;20.0002;1.00235
1862;20.0002;1.00234
1863;20.0002;1.00233
1864;20.0002;1.00232
1865;20.0002;1.0023
1866;20.0002;1.00229
1867;20.0002;1.00228
1868;20.0002;1.00227
1869;20.0002;1.00226
1870;20.0002;1.00225
1871;20.0002;1.00224
1872;20.0002;1.00222
1873;20.0002;1.00221
1874;20.0002;1.0022
1875;20.0002;1.00219
1876;20.0002;1.00218
1877;20.0002;1.00217
1878;20.0002;1.00216
1879;20.0002;1.00215
1880;20.0002;1.00214
1881;20.0002;1.00213
1882;20.0002;1.00212
1883;20.0002;1.00211
1884;20.0002;1.0021
1885;20.0002;1.00208
1886;20.0002;1.00207
1887;20.0002;1.00206
1888;20.0002;1.00205
1889;20.0002;1.00204
1890;20.0002;1.00203
1891;20.0002;1.00202
1892;20.0002;1.00201
1893;20.0002;1.002
1894;20.0002;1.00199
1895;20.0002;1.00198
1896;20.0002;1.00197
1897;20.0002;1.00196
1898;20.0002;1.00195
1899;20.0002;1.00194
1900;20.0002;1.00193
1901;20.0002;1.00192
1902;20.0002;1.00191
1903;20.0002;1.00191
1904;20.0002;1.0019
1905;20.0002;1.00189
1906;20.0002;1.00188
1907;20.0002;1.00187
1908;20.0002;1.00186
1909;20.0001;1.00185
1910;20.0001;1.00184
1911;20.0001;1.00183
1912;20.0001;1.00182
1913;20.0001;1.00181
1914;20.0001;1.0018
1915;20.0001;1.00179
1916;20.0001;1.00179
1917;20.0001;1.00178
1918;20.0001;1.00177
1919;20.0001;1.00176
1920;20.0001;1.00175
1921;20.0001;1.00174
1922;20.0001;1.00173
1923;20.0001;1.00172
1924;20.0001;1.00172
1925;20.0001;1.00171
1926;20.0001;1.0017
1927;20.0001;1.00169
1928;20.0001;1.00168
1929;20.0001;1.00167
1930;20.0001;1.00166
1931;20.0001;1.00166
1932;20.0001;1.00165
1933;20.0001;1.00164
1934;20.0001;1.00163
1935;20.0001;1.00162
1936;20.0001;1.00162
1937;20.0001;1.00161
1938;20.0001;1.0016
1939;20.0001;1.00159
1940;20.0001;1.00158
1941;20.0001;1.00158
1942;20.0001;1.00157
1943;20.0001;1.00156
1944;20.0001;1.00155
1945;20.0001;1.00154
1946;20.0001;1.00154
1947;20.0001;1.00153
1948;20.0001;1.00152
1949;20.0001;1.00151
1950;20.0001;1.00151
1951;20.0001;1.0015
1952;20.0001;1.00149
1953;20.0001;1.00148
1954;20.0001;1.00148
1955;20.0001;1.00147
1956;20.0001;1.00146
1957;20.0001;1.00145
1958;20.0001;1.00145
1959;20.0001;1.00144
1960;20.0001;1.00143
1961;20.0001;1.00143
1962;20.0001;1.00142
1963;20.0001;1.00141
1964;20.0001;1.0014
1965;20.0001;1.0014
1966;20.0001;1.00139
1967;20.0001;1.00138
1968;20.0001;1.00138
1969;20.0001;1.00137
1970;20.0001;1.00136
1971;20.0001;1.00136
1972;20.0001;1.00135
1973;20.0001;1.00134
1974;20.0001;1.00134
1975;20.0001;1.00133
1976;20.0001;1.00132
1977;20.0001;1.00132
1978;20.0001;1.00131
1979;20.0001;1.0013
1980;20.0001;1.0013
1981;20.0001;1.00129
1982;20.0001;1.00128
1983;20.0001;1.00128
1984;20.0001;1.00127
1985;20.0001;1.00126
1986;20.0001;1.00126
1987;20.0001;1.00125
1988;20.0001;1.00125
1989;20.0001;1.00124
1990;20.0001;1.00123
1991;20.0001;1.00123
1992;20.0001;1.00122
1993;20.0001;1.00121
1994;20.0001;1.00121
1995;20.0001;1.0012
1996;20.0001;1.0012
1997;20.0001;1.00119
1998;20.0001;1.00118
1999;20.0001;1.00118
2000;20.0001;1.00117
