t;T_B;V_A;V_B
164;48.7796;3.66783;1.94373
165;48.8085;3.66038;1.94723
166;48.837;3.65294;1.95071
167;48.865;3.64551;1.95418
168;48.8925;3.63809;1.95762
169;48.9195;3.63067;1.96105
170;48.946;3.62327;1.96445
171;48.9722;3.61586;1.96784
172;48.9978;3.60847;1.9712
173;49.023;3.60109;1.97455
174;49.0478;3.59371;1.97787
175;49.0721;3.58634;1.98118
176;49.096;3.57897;1.98447
177;49.1195;3.57162;1.98774
178;49.1426;3.56427;1.99099
179;49.1652;3.55693;1.99422
180;49.1875;3.5496;1.99743
181;49.2093;3.54227;2.00062
182;49.2308;3.53496;2.00379
183;49.2518;3.52765;2.00695
184;49.2725;3.52034;2.01008
185;49.2928;3.51305;2.0132
186;49.3127;3.50576;2.0163
187;49.3323;3.49848;2.01938
188;49.3514;3.49121;2.02244
189;49.3703;3.48394;2.02548
190;49.3887;3.47669;2.02851
191;49.4068;3.46944;2.03152
192;49.4246;3.4622;2.0345
193;49.442;3.45496;2.03747
194;49.459;3.44773;2.04043
195;49.4758;3.44051;2.04336
196;49.4922;3.4333;2.04628
197;49.5082;3.4261;2.04918
198;49.524;3.4189;2.05206
199;49.5394;3.41171;2.05492
200;49.5545;3.40453;2.05777
201;49.5693;3.39736;2.0606
202;49.5838;3.39019;2.06341
203;49.5979;3.38303;2.06621
204;49.6118;3.37588;2.06898
205;49.6254;3.36874;2.07174
206;49.6387;3.3616;2.07449
207;49.6516;3.35447;2.07721
208;49.6643;3.34735;2.07992
209;49.6768;3.34024;2.08261
210;49.6889;3.33313;2.08529
211;49.7007;3.32603;2.08794
212;49.7123;3.31894;2.09058
213;49.7236;3.31186;2.09321
214;49.7346;3.30479;2.09582
215;49.7454;3.29772;2.09841
216;49.7559;3.29066;2.10098
217;49.7661;3.2836;2.10354
218;49.7761;3.27656;2.10608
219;49.7859;3.26952;2.10861
220;49.7953;3.26249;2.11112
221;49.8046;3.25547;2.11361
222;49.8135;3.24845;2.11609
223;49.8223;3.24145;2.11855
224;49.8308;3.23445;2.12099
225;49.839;3.22745;2.12342
226;49.8471;3.22047;2.12583
227;49.8548;3.21349;2.12823
228;49.8624;3.20652;2.13061
229;49.8697;3.19956;2.13298
230;49.8768;3.1926;2.13533
231;49.8837;3.18566;2.13766
232;49.8904;3.17872;2.13998
233;49.8968;3.17179;2.14228
234;49.903;3.16486;2.14457
235;49.909;3.15795;2.14684
236;49.9148;3.15104;2.1491
237;49.9204;3.14413;2.15134
238;49.9258;3.13724;2.15357
239;49.931;3.13035;2.15578
240;49.9359;3.12347;2.15798
241;49.9407;3.1166;2.16016
242;49.9453;3.10974;2.16232
243;49.9496;3.10288;2.16448
244;49.9538;3.09603;2.16661
245;49.9578;3.08919;2.16873
246;49.9616;3.08236;2.17084
247;49.9652;3.07553;2.17293
248;49.9686;3.06872;2.17501
249;49.9718;3.0619;2.17707
250;49.9748;3.0551;2.17912
251;49.9777;3.04831;2.18116
252;49.9804;3.04152;2.18318
253;49.9829;3.03474;2.18518
254;49.9852;3.02796;2.18717
255;49.9873;3.0212;2.18915
256;49.9893;3.01444;2.19111
257;49.9911;3.00769;2.19306
258;49.9927;3.00095;2.19499
259;49.9942;2.99421;2.19691
260;49.9955;2.98748;2.19882
261;49.9966;2.98076;2.20071
262;49.9976;2.97405;2.20259
263;49.9984;2.96735;2.20445
264;49.999;2.96065;2.2063
265;49.9995;2.95396;2.20814
266;49.9998;2.94728;2.20996
267;50;2.9406;2.21177
268;50;2.93393;2.21356
269;49.9999;2.92727;2.21535
270;49.9996;2.92062;2.21711
271;49.9991;2.91398;2.21887
272;49.9985;2.90734;2.22061
273;49.9978;2.90071;2.22234
274;49.9969;2.89409;2.22405
275;49.9959;2.88748;2.22575
276;49.9947;2.88087;2.22744
277;49.9933;2.87427;2.22912
278;49.9919;2.86768;2.23078
279;49.9903;2.86109;2.23242
280;49.9885;2.85452;2.23406
281;49.9866;2.84795;2.23568
282;49.9846;2.84139;2.23729
283;49.9825;2.83483;2.23889
284;49.9802;2.82829;2.24047
285;49.9778;2.82175;2.24204
286;49.9752;2.81522;2.2436
287;49.9725;2.80869;2.24514
288;49.9697;2.80218;2.24668
289;49.9668;2.79567;2.2482
290;49.9637;2.78917;2.2497
291;49.9605;2.78268;2.2512
292;49.9572;2.77619;2.25268
293;49.9537;2.76971;2.25415
294;49.9501;2.76324;2.2556
295;49.9464;2.75678;2.25705
296;49.9426;2.75032;2.25848
297;49.9387;2.74387;2.2599
298;49.9346;2.73743;2.26131
299;49.9304;2.731;2.2627
300;49.9262;2.72458;2.26409
301;49.9217;2.71816;2.26546
302;49.9172;2.71175;2.26682
303;49.9126;2.70535;2.26816
304;49.9078;2.69895;2.2695
305;49.9029;2.69256;2.27082
306;49.898;2.68618;2.27213
307;49.8929;2.67981;2.27343
308;49.8877;2.67345;2.27472
309;49.8824;2.66709;2.27599
310;49.8769;2.66074;2.27725
311;49.8714;2.6544;2.2785
312;49.8658;2.64806;2.27974
313;49.86;2.64174;2.28097
314;49.8542;2.63542;2.28219
315;49.8482;2.62911;2.28339
316;49.8422;2.6228;2.28459
317;49.836;2.61651;2.28577
318;49.8297;2.61022;2.28694
319;49.8234;2.60393;2.2881
320;49.8169;2.59766;2.28925
321;49.8104;2.59139;2.29038
322;49.8037;2.58514;2.29151
323;49.7969;2.57888;2.29262
324;49.7901;2.57264;2.29372
325;49.7831;2.5664;2.29481
326;49.7761;2.56018;2.29589
327;49.7689;2.55395;2.29696
328;49.7617;2.54774;2.29802
329;49.7543;2.54154;2.29907
330;49.7469;2.53534;2.3001
331;49.7394;2.52915;2.30113
332;49.7318;2.52296;2.30214
333;49.724;2.51679;2.30314
334;49.7162;2.51062;2.30414
335;49.7083;2.50446;2.30512
336;49.7004;2.49831;2.30609
337;49.6923;2.49216;2.30705
338;49.6841;2.48602;2.308
339;49.6759;2.47989;2.30893
340;49.6676;2.47377;2.30986
341;49.6591;2.46765;2.31078
342;49.6506;2.46155;2.31168
343;49.642;2.45545;2.31258
344;49.6333;2.44935;2.31347
345;49.6246;2.44327;2.31434
346;49.6157;2.43719;2.31521
347;49.6068;2.43112;2.31606
348;49.5978;2.42506;2.3169
349;49.5887;2.41901;2.31774
350;49.5795;2.41296;2.31856
351;49.5703;2.40692;2.31937
352;49.5609;2.40089;2.32017
353;49.5515;2.39486;2.32097
354;49.542;2.38885;2.32175
355;49.5324;2.38284;2.32252
356;49.5227;2.37684;2.32328
357;49.513;2.37084;2.32403
358;49.5032;2.36485;2.32478
359;49.4933;2.35888;2.32551
360;49.4833;2.3529;2.32623
361;49.4733;2.34694;2.32694
362;49.4632;2.34098;2.32764
363;49.453;2.33504;2.32834
364;49.4427;2.32909;2.32902
365;49.4323;2.32316;2.32969
366;49.4219;2.31723;2.33035
367;49.4114;2.31132;2.33101
368;49.4009;2.30541;2.33165
369;49.3902;2.2995;2.33228
370;49.3795;2.29361;2.33291
371;49.3687;2.28772;2.33352
372;49.3579;2.28184;2.33413
373;49.3469;2.27596;2.33472
374;49.3359;2.2701;2.33531
375;49.3249;2.26424;2.33588
376;49.3137;2.25839;2.33645
377;49.3025;2.25255;2.33701
378;49.2912;2.24671;2.33756
379;49.2799;2.24088;2.33809
380;49.2685;2.23506;2.33862
381;49.257;2.22925;2.33914
382;49.2454;2.22345;2.33965
383;49.2338;2.21765;2.34016
384;49.2221;2.21186;2.34065
385;49.2104;2.20608;2.34113
386;49.1985;2.2003;2.34161
387;49.1867;2.19453;2.34207
388;49.1747;2.18877;2.34253
389;49.1627;2.18302;2.34297
390;49.1506;2.17728;2.34341
391;49.1385;2.17154;2.34384
392;49.1262;2.16581;2.34426
393;49.114;2.16009;2.34467
394;49.1016;2.15438;2.34507
395;49.0892;2.14867;2.34547
396;49.0768;2.14297;2.34585
397;49.0642;2.13728;2.34623
398;49.0517;2.13159;2.34659
399;49.039;2.12592;2.34695
400;49.0263;2.12025;2.3473
401;49.0135;2.11459;2.34764
402;49.0007;2.10893;2.34797
403;48.9878;2.10329;2.34829
404;48.9748;2.09765;2.34861
405;48.9618;2.09202;2.34892
406;48.9487;2.08639;2.34921
407;48.9356;2.08078;2.3495
408;48.9224;2.07517;2.34978
409;48.9091;2.06957;2.35005
410;48.8958;2.06398;2.35032
411;48.8825;2.05839;2.35057
412;48.869;2.05281;2.35082
413;48.8555;2.04724;2.35106
414;48.842;2.04168;2.35129
415;48.8284;2.03612;2.35151
416;48.8147;2.03057;2.35172
417;48.801;2.02503;2.35193
418;48.7872;2.0195;2.35212
419;48.7734;2.01398;2.35231
420;48.7595;2.00846;2.35249
421;48.7456;2.00295;2.35266
422;48.7316;1.99745;2.35283
423;48.7175;1.99195;2.35298
424;48.7034;1.98646;2.35313
425;48.6892;1.98098;2.35327
426;48.675;1.97551;2.3534
427;48.6607;1.97005;2.35353
428;48.6464;1.96459;2.35364
429;48.632;1.95914;2.35375
430;48.6176;1.9537;2.35385
431;48.6031;1.94826;2.35394
432;48.5885;1.94284;2.35403
433;48.5739;1.93742;2.35411
434;48.5593;1.93201;2.35417
435;48.5446;1.9266;2.35424
436;48.5298;1.92121;2.35429
437;48.515;1.91582;2.35433
438;48.5002;1.91043;2.35437
439;48.4852;1.90506;2.3544
440;48.4703;1.89969;2.35442
441;48.4553;1.89434;2.35444
442;48.4402;1.88898;2.35445
443;48.4251;1.88364;2.35444
444;48.4099;1.8783;2.35444
445;48.3947;1.87298;2.35442
446;48.3794;1.86766;2.3544
447;48.3641;1.86234;2.35437
448;48.3487;1.85704;2.35433
449;48.3333;1.85174;2.35428
450;48.3178;1.84645;2.35423
451;48.3023;1.84116;2.35417
452;48.2867;1.83589;2.3541
453;48.2711;1.83062;2.35403
454;48.2554;1.82536;2.35395
455;48.2397;1.82011;2.35386
456;48.2239;1.81486;2.35376
457;48.2081;1.80962;2.35365
458;48.1922;1.80439;2.35354
459;48.1763;1.79917;2.35342
460;48.1603;1.79396;2.3533
461;48.1443;1.78875;2.35317
462;48.1283;1.78355;2.35303
463;48.1121;1.77836;2.35288
464;48.096;1.77317;2.35272
465;48.0798;1.76799;2.35256
466;48.0635;1.76282;2.3524
467;48.0472;1.75766;2.35222
468;48.0309;1.75251;2.35204
469;48.0145;1.74736;2.35185
470;47.998;1.74222;2.35165
471;47.9816;1.73709;2.35145
472;47.965;1.73196;2.35124
473;47.9484;1.72685;2.35102
474;47.9318;1.72174;2.3508
475;47.9151;1.71664;2.35057
476;47.8984;1.71154;2.35033
477;47.8817;1.70646;2.35009
478;47.8648;1.70138;2.34983
479;47.848;1.69631;2.34958
480;47.8311;1.69124;2.34931
481;47.8141;1.68619;2.34904
482;47.7971;1.68114;2.34876
483;47.7801;1.6761;2.34848
484;47.763;1.67106;2.34819
485;47.7459;1.66604;2.34789
486;47.7287;1.66102;2.34759
487;47.7115;1.65601;2.34727
488;47.6942;1.651;2.34696
489;47.6769;1.64601;2.34663
490;47.6596;1.64102;2.3463
491;47.6422;1.63604;2.34597
492;47.6247;1.63107;2.34562
493;47.6073;1.6261;2.34527
494;47.5897;1.62114;2.34492
495;47.5722;1.61619;2.34455
496;47.5545;1.61125;2.34418
497;47.5369;1.60631;2.34381
498;47.5192;1.60139;2.34343
499;47.5014;1.59647;2.34304
500;47.4836;1.59155;2.34264
501;47.4658;1.58665;2.34224
502;47.4479;1.58175;2.34184
503;47.43;1.57686;2.34142
504;47.412;1.57198;2.341
505;47.394;1.5671;2.34058
506;47.376;1.56224;2.34015
507;47.3579;1.55738;2.33971
508;47.3398;1.55253;2.33926
509;47.3216;1.54768;2.33881
510;47.3034;1.54284;2.33836
511;47.2851;1.53802;2.3379
512;47.2668;1.53319;2.33743
513;47.2485;1.52838;2.33695
514;47.2301;1.52357;2.33647
515;47.2116;1.51877;2.33599
516;47.1932;1.51398;2.33549
517;47.1747;1.5092;2.33499
518;47.1561;1.50442;2.33449
519;47.1375;1.49965;2.33398
520;47.1189;1.49489;2.33346
521;47.1002;1.49014;2.33294
522;47.0815;1.48539;2.33241
523;47.0627;1.48065;2.33188
524;47.0439;1.47592;2.33134
525;47.0251;1.4712;2.3308
526;47.0062;1.46648;2.33024
527;46.9873;1.46177;2.32969
528;46.9683;1.45707;2.32913
529;46.9493;1.45238;2.32856
530;46.9302;1.4477;2.32798
531;46.9111;1.44302;2.3274
532;46.892;1.43835;2.32682
533;46.8728;1.43368;2.32623
534;46.8536;1.42903;2.32563
