t;T_B;V_A;V_B
825;39.6166;0.395757;1.97719
826;39.5859;0.393311;1.97558
827;39.5551;0.390872;1.97396
828;39.5243;0.388442;1.97234
829;39.4934;0.386018;1.97072
830;39.4625;0.383603;1.9691
831;39.4316;0.381195;1.96747
832;39.4006;0.378794;1.96585
833;39.3696;0.376401;1.96422
834;39.3385;0.374016;1.96259
835;39.3074;0.371638;1.96096
836;39.2762;0.369268;1.95933
837;39.245;0.366905;1.95769
838;39.2137;0.36455;1.95605
839;39.1824;0.362203;1.95442
840;39.1511;0.359863;1.95278
841;39.1197;0.357531;1.95113
842;39.0882;0.355206;1.94949
843;39.0568;0.352889;1.94784
844;39.0252;0.350579;1.9462
845;38.9937;0.348277;1.94455
846;38.962;0.345982;1.9429
847;38.9304;0.343695;1.94125
848;38.8987;0.341416;1.93959
849;38.8669;0.339144;1.93794
850;38.8351;0.33688;1.93628
851;38.8033;0.334623;1.93462
852;38.7714;0.332374;1.93296
853;38.7394;0.330133;1.9313
854;38.7075;0.327899;1.92964
855;38.6754;0.325673;1.92797
856;38.6434;0.323454;1.92631
857;38.6112;0.321243;1.92464
858;38.5791;0.319039;1.92297
859;38.5469;0.316843;1.9213
860;38.5146;0.314654;1.91963
861;38.4823;0.312473;1.91795
862;38.45;0.3103;1.91628
863;38.4176;0.308134;1.9146
864;38.3851;0.305976;1.91292
865;38.3526;0.303825;1.91124
866;38.3201;0.301682;1.90956
867;38.2875;0.299547;1.90788
868;38.2549;0.297419;1.90619
869;38.2222;0.295298;1.90451
870;38.1895;0.293186;1.90282
871;38.1567;0.29108;1.90113
872;38.1239;0.288983;1.89944
873;38.0911;0.286893;1.89775
874;38.0581;0.28481;1.89605
875;38.0252;0.282735;1.89436
876;37.9922;0.280668;1.89266
877;37.9591;0.278608;1.89096
878;37.926;0.276556;1.88927
879;37.8929;0.274511;1.88757
880;37.8597;0.272474;1.88586
881;37.8265;0.270445;1.88416
882;37.7932;0.268423;1.88246
883;37.7598;0.266408;1.88075
884;37.7264;0.264402;1.87904
885;37.693;0.262402;1.87733
886;37.6595;0.260411;1.87562
887;37.626;0.258427;1.87391
888;37.5924;0.25645;1.8722
889;37.5588;0.254481;1.87049
890;37.5251;0.25252;1.86877
891;37.4914;0.250566;1.86705
892;37.4576;0.24862;1.86534
893;37.4238;0.246681;1.86362
894;37.39;0.24475;1.8619
895;37.356;0.242827;1.86018
896;37.3221;0.240911;1.85845
897;37.2881;0.239003;1.85673
898;37.254;0.237102;1.855
899;37.2199;0.235209;1.85328
900;37.1857;0.233323;1.85155
901;37.1515;0.231445;1.84982
902;37.1173;0.229575;1.84809
903;37.083;0.227712;1.84636
904;37.0486;0.225856;1.84462
905;37.0142;0.224009;1.84289
906;36.9797;0.222168;1.84116
907;36.9452;0.220336;1.83942
908;36.9107;0.218511;1.83768
909;36.8761;0.216693;1.83594
910;36.8414;0.214883;1.8342
911;36.8067;0.213081;1.83246
912;36.772;0.211286;1.83072
913;36.7372;0.209499;1.82898
914;36.7023;0.20772;1.82723
915;36.6674;0.205948;1.82549
916;36.6324;0.204183;1.82374
917;36.5974;0.202426;1.82199
918;36.5624;0.200677;1.82024
919;36.5273;0.198935;1.81849
920;36.4921;0.197201;1.81674
921;36.4569;0.195475;1.81499
922;36.4216;0.193756;1.81324
923;36.3863;0.192044;1.81148
924;36.351;0.190341;1.80973
925;36.3156;0.188644;1.80797
926;36.2801;0.186956;1.80621
927;36.2446;0.185274;1.80446
928;36.209;0.183601;1.8027
929;36.1734;0.181935;1.80094
930;36.1377;0.180277;1.79917
931;36.102;0.178626;1.79741
932;36.0662;0.176983;1.79565
933;36.0304;0.175347;1.79388
934;35.9945;0.173719;1.79212
935;35.9586;0.172098;1.79035
936;35.9226;0.170485;1.78858
937;35.8866;0.16888;1.78682
938;35.8505;0.167282;1.78505
939;35.8144;0.165692;1.78328
940;35.7782;0.164109;1.78151
941;35.7419;0.162534;1.77973
942;35.7056;0.160967;1.77796
943;35.6693;0.159407;1.77619
944;35.6329;0.157855;1.77441
945;35.5964;0.15631;1.77263
946;35.5599;0.154773;1.77086
947;35.5233;0.153243;1.76908
948;35.4867;0.151721;1.7673
949;35.4501;0.150207;1.76552
950;35.4133;0.1487;1.76374
951;35.3766;0.147201;1.76196
952;35.3397;0.145709;1.76018
953;35.3029;0.144225;1.7584
954;35.2659;0.142748;1.75661
955;35.2289;0.141279;1.75483
956;35.1919;0.139818;1.75304
957;35.1548;0.138364;1.75125
958;35.1176;0.136918;1.74947
959;35.0804;0.135479;1.74768
960;35.0432;0.134048;1.74589
961;35.0058;0.132625;1.7441
962;34.9685;0.131209;1.74231
963;34.931;0.1298;1.74052
964;34.8936;0.1284;1.73873
965;34.856;0.127007;1.73693
966;34.8184;0.125621;1.73514
967;34.7808;0.124243;1.73335
968;34.7431;0.122872;1.73155
969;34.7053;0.12151;1.72975
970;34.6675;0.120154;1.72796
971;34.6297;0.118807;1.72616
972;34.5917;0.117466;1.72436
973;34.5538;0.116134;1.72256
974;34.5157;0.114809;1.72076
975;34.4776;0.113492;1.71896
976;34.4395;0.112182;1.71716
977;34.4013;0.110879;1.71536
978;34.363;0.109585;1.71356
979;34.3247;0.108298;1.71175
980;34.2863;0.107018;1.70995
981;34.2479;0.105746;1.70815
982;34.2094;0.104482;1.70634
983;34.1709;0.103225;1.70453
984;34.1323;0.101976;1.70273
985;34.0936;0.100735;1.70092
986;34.0549;0.0995006;1.69911
987;34.0161;0.0982742;1.6973
988;33.9773;0.0970553;1.6955
989;33.9384;0.0958441;1.69369
990;33.8995;0.0946404;1.69187
991;33.8605;0.0934443;1.69006
992;33.8214;0.0922558;1.68825
993;33.7823;0.0910749;1.68644
994;33.7431;0.0899015;1.68463
995;33.7039;0.0887358;1.68281
996;33.6646;0.0875776;1.681
997;33.6253;0.086427;1.67918
998;33.5859;0.085284;1.67737
999;33.5464;0.0841485;1.67555
1000;33.5069;0.0830207;1.67374
1001;33.4673;0.0819004;1.67192
1002;33.4276;0.0807878;1.6701
1003;33.3879;0.0796827;1.66828
1004;33.3482;0.0785852;1.66647
1005;33.3084;0.0774952;1.66465
1006;33.2685;0.0764129;1.66283
1007;33.2285;0.0753381;1.66101
1008;33.1885;0.074271;1.65919
1009;33.1485;0.0732114;1.65736
1010;33.1084;0.0721594;1.65554
1011;33.0682;0.071115;1.65372
1012;33.028;0.0700781;1.6519
1013;32.9877;0.0690489;1.65007
1014;32.9473;0.0680272;1.64825
1015;32.9069;0.0670132;1.64643
1016;32.8664;0.0660067;1.6446
1017;32.8259;0.0650078;1.64278
1018;32.7853;0.0640165;1.64095
1019;32.7446;0.0630328;1.63912
1020;32.7039;0.0620566;1.6373
1021;32.6631;0.0610881;1.63547
1022;32.6222;0.0601271;1.63364
1023;32.5813;0.0591738;1.63181
1024;32.5404;0.058228;1.62999
1025;32.4993;0.0572898;1.62816
1026;32.4582;0.0563592;1.62633
1027;32.4171;0.0554362;1.6245
1028;32.3759;0.0545207;1.62267
1029;32.3346;0.0536129;1.62084
1030;32.2933;0.0527127;1.61901
1031;32.2518;0.05182;1.61717
1032;32.2104;0.0509349;1.61534
1033;32.1689;0.0500575;1.61351
1034;32.1273;0.0491876;1.61168
1035;32.0856;0.0483253;1.60985
1036;32.0439;0.0474706;1.60801
1037;32.0021;0.0466235;1.60618
1038;31.9603;0.045784;1.60434
1039;31.9184;0.0449521;1.60251
1040;31.8764;0.0441277;1.60068
1041;31.8343;0.043311;1.59884
1042;31.7922;0.0425018;1.597
1043;31.7501;0.0417003;1.59517
1044;31.7079;0.0409063;1.59333
1045;31.6656;0.04012;1.5915
1046;31.6232;0.0393412;1.58966
1047;31.5808;0.03857;1.58782
1048;31.5383;0.0378065;1.58599
1049;31.4957;0.0370505;1.58415
1050;31.4531;0.0363021;1.58231
1051;31.4104;0.0355613;1.58047
1052;31.3677;0.0348281;1.57863
1053;31.3249;0.0341026;1.57679
1054;31.282;0.0333846;1.57496
1055;31.2391;0.0326742;1.57312
1056;31.1961;0.0319714;1.57128
1057;31.153;0.0312762;1.56944
1058;31.1098;0.0305886;1.5676
1059;31.0666;0.0299086;1.56576
1060;31.0234;0.0292362;1.56392
1061;30.98;0.0285714;1.56208
1062;30.9366;0.0279142;1.56023
1063;30.8931;0.0272646;1.55839
1064;30.8496;0.0266226;1.55655
1065;30.806;0.0259883;1.55471
1066;30.7623;0.0253615;1.55287
1067;30.7186;0.0247423;1.55103
1068;30.6747;0.0241307;1.54918
1069;30.6309;0.0235268;1.54734
1070;30.5869;0.0229304;1.5455
1071;30.5429;0.0223417;1.54365
1072;30.4988;0.0217605;1.54181
1073;30.4547;0.021187;1.53997
1074;30.4104;0.020621;1.53812
1075;30.3662;0.0200627;1.53628
1076;30.3218;0.019512;1.53444
1077;30.2774;0.0189689;1.53259
1078;30.2329;0.0184334;1.53075
1079;30.1883;0.0179056;1.5289
1080;30.1437;0.0173853;1.52706
1081;30.099;0.0168727;1.52521
1082;30.0542;0.0163676;1.52337
1083;30.0093;0.0158702;1.52152
1084;29.9644;0.0153804;1.51968
1085;29.9194;0.0148982;1.51783
1086;29.8744;0.0144237;1.51599
1087;29.8292;0.0139567;1.51414
1088;29.784;0.0134974;1.5123
1089;29.7388;0.0130457;1.51045
1090;29.6934;0.0126016;1.5086
1091;29.648;0.0121652;1.50676
1092;29.6025;0.0117363;1.50491
1093;29.557;0.0113151;1.50307
1094;29.5113;0.0109016;1.50122
1095;29.4656;0.0104956;1.49937
1096;29.4198;0.0100973;1.49753
1097;29.374;0.00970661;1.49568
1098;29.3281;0.00932355;1.49383
1099;29.2821;0.00894814;1.49199
1100;29.236;0.00858035;1.49014
1101;29.1899;0.00822021;1.48829
1102;29.1436;0.0078677;1.48645
1103;29.0973;0.00752283;1.4846
1104;29.051;0.00718561;1.48275
1105;29.0045;0.00685603;1.4809
1106;28.958;0.0065341;1.47906
1107;28.9114;0.00621982;1.47721
1108;28.8648;0.00591319;1.47536
1109;28.818;0.00561421;1.47351
1110;28.7712;0.00532289;1.47167
1111;28.7243;0.00503923;1.46982
1112;28.6773;0.00476323;1.46797
1113;28.6303;0.0044949;1.46612
1114;28.5832;0.00423423;1.46428
1115;28.536;0.00398124;1.46243
1116;28.4887;0.00373591;1.46058
1117;28.4413;0.00349827;1.45873
1118;28.3939;0.00326831;1.45689
1119;28.3464;0.00304604;1.45504
1120;28.2988;0.00283146;1.45319
1121;28.2511;0.00262457;1.45134
1122;28.2034;0.00242539;1.44949
1123;28.1555;0.00223391;1.44765
1124;28.1076;0.00205014;1.4458
1125;28.0596;0.0018741;1.44395
1126;28.0116;0.00170579;1.4421
1127;27.9634;0.00154521;1.44025
1128;27.9152;0.00139237;1.43841
1129;27.8668;0.0012473;1.43656
1130;27.8184;0.00110998;1.43471
1131;27.7699;0.000980449;1.43286
1132;27.7214;0.000858707;1.43101
1133;27.6727;0.000744775;1.42916
1134;27.6239;0.000638669;1.42731
1135;27.5751;0.000540412;1.42547
1136;27.5262;0.000450028;1.42362
1137;27.4772;0.000367549;1.42177
1138;27.428;0.00029301;1.41992
1139;27.3788;0.000226457;1.41807
1140;27.3295;0.000167948;1.41622
1141;27.2801;0.000117562;1.41437
1142;27.2306;7.5406e-05;1.41252
1143;27.181;4.16439e-05;1.41067
1144;27.1312;1.65538e-05;1.40882
1145;27.0813;7.3497e-07;1.40696
1146;27.031;0;1.4051
1147;26.9809;0;1.40325
1148;26.9311;0;1.4014
1149;26.8816;0;1.39957
1150;26.8324;0;1.39774
1151;26.7834;0;1.39591
1152;26.7348;0;1.3941
1153;26.6864;0;1.39229
1154;26.6383;0;1.39049
1155;26.5905;0;1.3887
1156;26.543;0;1.38692
1157;26.4957;0;1.38514
1158;26.4488;0;1.38337
1159;26.4021;0;1.38161
1160;26.3557;0;1.37985
1161;26.3096;0;1.37811
1162;26.2637;0;1.37637
1163;26.2182;0;1.37464
1164;26.1729;0;1.37291
1165;26.1279;0;1.37119
1166;26.0831;0;1.36948
1167;26.0387;0;1.36778
1168;25.9944;0;1.36609
1169;25.9505;0;1.3644
1170;25.9068;0;1.36272
1171;25.8634;0;1.36104
1172;25.8203;0;1.35938
1173;25.7774;0;1.35772
1174;25.7348;0;1.35607
1175;25.6925;0;1.35442
1176;25.6504;0;1.35278
1177;25.6086;0;1.35115
1178;25.567;0;1.34953
1179;25.5257;0;1.34791
1180;25.4847;0;1.3463
1181;25.4439;0;1.3447
1182;25.4034;0;1.3431
1183;25.3631;0;1.34151
1184;25.3231;0;1.33993
1185;25.2833;0;1.33836
1186;25.2438;0;1.33679
1187;25.2045;0;1.33523
1188;25.1655;0;1.33367
1189;25.1267;0;1.33212
1190;25.0882;0;1.33058
1191;25.0499;0;1.32905
1192;25.0118;0;1.32752
1193;24.9741;0;1.326
1194;24.9365;0;1.32448
1195;24.8992;0;1.32297
1196;24.8621;0;1.32147
1197;24.8253;0;1.31997
1198;24.7887;0;1.31848
1199;24.7523;0;1.317
1200;24.7162;0;1.31553
1201;24.6803;0;1.31406
1202;24.6446;0;1.31259
1203;24.6092;0;1.31114
1204;24.574;0;1.30969
1205;24.5391;0;1.30824
1206;24.5043;0;1.3068
1207;24.4698;0;1.30537
1208;24.4355;0;1.30395
1209;24.4015;0;1.30253
1210;24.3677;0;1.30112
1211;24.3341;0;1.29971
1212;24.3007;0;1.29831
1213;24.2675;0;1.29691
1214;24.2346;0;1.29553
1215;24.2019;0;1.29414
1216;24.1694;0;1.29277
1217;24.1371;0;1.2914
1218;24.105;0;1.29003
1219;24.0731;0;1.28868
1220;24.0415;0;1.28732
1221;24.0101;0;1.28598
1222;23.9789;0;1.28464
1223;23.9479;0;1.2833
1224;23.9171;0;1.28198
1225;23.8865;0;1.28065
1226;23.8561;0;1.27934
1227;23.8259;0;1.27803
1228;23.796;0;1.27672
1229;23.7662;0;1.27542
1230;23.7366;0;1.27413
1231;23.7073;0;1.27284
1232;23.6781;0;1.27156
1233;23.6492;0;1.27028
1234;23.6204;0;1.26901
1235;23.5919;0;1.26775
1236;23.5635;0;1.26649
1237;23.5353;0;1.26523
1238;23.5074;0;1.26398
1239;23.4796;0;1.26274
1240;23.452;0;1.2615
1241;23.4246;0;1.26027
1242;23.3974;0;1.25905
1243;23.3704;0;1.25783
1244;23.3436;0;1.25661
1245;23.3169;0;1.2554
1246;23.2905;0;1.2542
1247;23.2642;0;1.253
1248;23.2382;0;1.2518
1249;23.2123;0;1.25062
1250;23.1866;0;1.24943
1251;23.161;0;1.24825
1252;23.1357;0;1.24708
1253;23.1105;0;1.24591
1254;23.0855;0;1.24475
1255;23.0607;0;1.2436
1256;23.0361;0;1.24244
1257;23.0116;0;1.2413
1258;22.9873;0;1.24016
1259;22.9632;0;1.23902
1260;22.9393;0;1.23789
1261;22.9155;0;1.23676
1262;22.8919;0;1.23564
1263;22.8685;0;1.23453
1264;22.8452;0;1.23342
1265;22.8222;0;1.23231
1266;22.7992;0;1.23121
1267;22.7765;0;1.23011
1268;22.7539;0;1.22902
1269;22.7315;0;1.22794
1270;22.7092;0;1.22685
1271;22.6871;0;1.22578
1272;22.6652;0;1.22471
1273;22.6434;0;1.22364
1274;22.6218;0;1.22258
1275;22.6003;0;1.22152
1276;22.579;0;1.22047
1277;22.5578;0;1.21942
1278;22.5368;0;1.21838
1279;22.516;0;1.21734
1280;22.4953;0;1.21631
1281;22.4748;0;1.21528
1282;22.4544;0;1.21425
1283;22.4342;0;1.21324
1284;22.4141;0;1.21222
1285;22.3942;0;1.21121
1286;22.3744;0;1.2102
1287;22.3547;0;1.2092
1288;22.3353;0;1.20821
1289;22.3159;0;1.20722
1290;22.2967;0;1.20623
1291;22.2777;0;1.20525
1292;22.2587;0;1.20427
1293;22.24;0;1.20329
1294;22.2213;0;1.20232
1295;22.2028;0;1.20136
1296;22.1845;0;1.2004
1297;22.1663;0;1.19944
1298;22.1482;0;1.19849
1299;22.1303;0;1.19754
1300;22.1125;0;1.1966
1301;22.0948;0;1.19566
1302;22.0773;0;1.19473
1303;22.0599;0;1.1938
1304;22.0426;0;1.19287
1305;22.0255;0;1.19195
1306;22.0085;0;1.19103
1307;21.9916;0;1.19012
1308;21.9748;0;1.18921
1309;21.9582;0;1.1883
1310;21.9417;0;1.1874
1311;21.9254;0;1.1865
1312;21.9091;0;1.18561
1313;21.893;0;1.18472
1314;21.877;0;1.18384
1315;21.8611;0;1.18296
1316;21.8454;0;1.18208
1317;21.8298;0;1.18121
1318;21.8143;0;1.18034
1319;21.7989;0;1.17948
1320;21.7836;0;1.17862
1321;21.7685;0;1.17776
1322;21.7535;0;1.17691
1323;21.7385;0;1.17606
1324;21.7238;0;1.17521
1325;21.7091;0;1.17437
1326;21.6945;0;1.17354
1327;21.6801;0;1.1727
1328;21.6657;0;1.17187
1329;21.6515;0;1.17105
1330;21.6374;0;1.17023
1331;21.6234;0;1.16941
1332;21.6095;0;1.1686
1333;21.5957;0;1.16779
1334;21.582;0;1.16698
1335;21.5685;0;1.16618
1336;21.555;0;1.16538
1337;21.5417;0;1.16458
1338;21.5284;0;1.16379
1339;21.5153;0;1.163
1340;21.5022;0;1.16222
1341;21.4893;0;1.16144
1342;21.4765;0;1.16066
1343;21.4637;0;1.15989
1344;21.4511;0;1.15912
1345;21.4386;0;1.15835
1346;21.4262;0;1.15759
1347;21.4138;0;1.15683
1348;21.4016;0;1.15607
1349;21.3895;0;1.15532
1350;21.3774;0;1.15457
1351;21.3655;0;1.15383
1352;21.3537;0;1.15309
1353;21.3419;0;1.15235
1354;21.3303;0;1.15161
1355;21.3187;0;1.15088
1356;21.3072;0;1.15016
1357;21.2959;0;1.14943
1358;21.2846;0;1.14871
1359;21.2734;0;1.14799
1360;21.2623;0;1.14728
1361;21.2513;0;1.14657
1362;21.2404;0;1.14586
1363;21.2295;0;1.14515
1364;21.2188;0;1.14445
1365;21.2081;0;1.14376
1366;21.1976;0;1.14306
1367;21.1871;0;1.14237
1368;21.1767;0;1.14168
1369;21.1664;0;1.141
1370;21.1561;0;1.14031
1371;21.146;0;1.13964
1372;21.1359;0;1.13896
1373;21.126;0;1.13829
1374;21.1161;0;1.13762
1375;21.1062;0;1.13695
1376;21.0965;0;1.13629
1377;21.0868;0;1.13563
1378;21.0773;0;1.13497
1379;21.0678;0;1.13432
1380;21.0584;0;1.13367
1381;21.049;0;1.13302
1382;21.0398;0;1.13238
1383;21.0306;0;1.13174
1384;21.0215;0;1.1311
1385;21.0124;0;1.13046
1386;21.0035;0;1.12983
1387;20.9946;0;1.1292
1388;20.9858;0;1.12858
1389;20.977;0;1.12795
1390;20.9684;0;1.12733
1391;20.9598;0;1.12671
1392;20.9512;0;1.1261
1393;20.9428;0;1.12549
1394;20.9344;0;1.12488
1395;20.9261;0;1.12427
1396;20.9178;0;1.12367
1397;20.9097;0;1.12307
1398;20.9016;0;1.12247
1399;20.8935;0;1.12188
1400;20.8856;0;1.12129
1401;20.8777;0;1.1207
1402;20.8698;0;1.12011
1403;20.8621;0;1.11953
1404;20.8544;0;1.11895
1405;20.8467;0;1.11837
1406;20.8391;0;1.11779
1407;20.8316;0;1.11722
1408;20.8242;0;1.11665
1409;20.8168;0;1.11608
1410;20.8095;0;1.11552
1411;20.8022;0;1.11496
1412;20.795;0;1.1144
1413;20.7879;0;1.11384
1414;20.7808;0;1.11329
1415;20.7738;0;1.11274
1416;20.7668;0;1.11219
1417;20.7599;0;1.11164
1418;20.7531;0;1.1111
1419;20.7463;0;1.11056
1420;20.7396;0;1.11002
1421;20.7329;0;1.10948
1422;20.7263;0;1.10895
1423;20.7198;0;1.10842
1424;20.7133;0;1.10789
1425;20.7068;0;1.10737
1426;20.7004;0;1.10684
1427;20.6941;0;1.10632
1428;20.6878;0;1.1058
1429;20.6816;0;1.10529
1430;20.6754;0;1.10477
1431;20.6693;0;1.10426
1432;20.6633;0;1.10376
1433;20.6572;0;1.10325
1434;20.6513;0;1.10275
1435;20.6454;0;1.10224
1436;20.6395;0;1.10175
1437;20.6337;0;1.10125
1438;20.6279;0;1.10076
1439;20.6222;0;1.10026
1440;20.6166;0;1.09977
1441;20.611;0;1.09929
1442;20.6054;0;1.0988
1443;20.5999;0;1.09832
1444;20.5944;0;1.09784
1445;20.589;0;1.09736
1446;20.5837;0;1.09689
1447;20.5783;0;1.09641
1448;20.5731;0;1.09594
1449;20.5678;0;1.09547
1450;20.5626;0;1.09501
1451;20.5575;0;1.09454
1452;20.5524;0;1.09408
1453;20.5473;0;1.09362
1454;20.5423;0;1.09316
1455;20.5374;0;1.09271
1456;20.5325;0;1.09226
1457;20.5276;0;1.0918
1458;20.5227;0;1.09136
1459;20.518;0;1.09091
1460;20.5132;0;1.09046
1461;20.5085;0;1.09002
1462;20.5038;0;1.08958
1463;20.4992;0;1.08914
1464;20.4946;0;1.08871
1465;20.4901;0;1.08827
1466;20.4856;0;1.08784
1467;20.4811;0;1.08741
1468;20.4767;0;1.08698
1469;20.4723;0;1.08656
1470;20.4679;0;1.08613
1471;20.4636;0;1.08571
1472;20.4594;0;1.08529
1473;20.4551;0;1.08487
1474;20.4509;0;1.08446
1475;20.4468;0;1.08404
1476;20.4426;0;1.08363
1477;20.4386;0;1.08322
1478;20.4345;0;1.08281
1479;20.4305;0;1.08241
1480;20.4265;0;1.08201
1481;20.4226;0;1.0816
1482;20.4187;0;1.0812
1483;20.4148;0;1.08081
1484;20.411;0;1.08041
1485;20.4071;0;1.08001
1486;20.4034;0;1.07962
1487;20.3996;0;1.07923
1488;20.3959;0;1.07884
1489;20.3923;0;1.07846
1490;20.3886;0;1.07807
1491;20.385;0;1.07769
1492;20.3814;0;1.07731
1493;20.3779;0;1.07693
1494;20.3744;0;1.07655
1495;20.3709;0;1.07617
1496;20.3675;0;1.0758
1497;20.364;0;1.07543
1498;20.3607;0;1.07506
1499;20.3573;0;1.07469
1500;20.354;0;1.07432
1501;20.3507;0;1.07396
1502;20.3474;0;1.0736
1503;20.3442;0;1.07323
1504;20.341;0;1.07287
1505;20.3378;0;1.07252
1506;20.3346;0;1.07216
1507;20.3315;0;1.07181
1508;20.3284;0;1.07145
1509;20.3254;0;1.0711
1510;20.3223;0;1.07075
1511;20.3193;0;1.0704
1512;20.3163;0;1.07006
1513;20.3134;0;1.06971
1514;20.3104;0;1.06937
1515;20.3075;0;1.06903
1516;20.3047;0;1.06869
1517;20.3018;0;1.06835
1518;20.299;0;1.06802
1519;20.2962;0;1.06768
1520;20.2934;0;1.06735
1521;20.2907;0;1.06702
1522;20.2879;0;1.06669
1523;20.2852;0;1.06636
1524;20.2826;0;1.06603
1525;20.2799;0;1.06571
1526;20.2773;0;1.06539
1527;20.2747;0;1.06506
1528;20.2721;0;1.06474
1529;20.2695;0;1.06443
1530;20.267;0;1.06411
1531;20.2645;0;1.06379
1532;20.262;0;1.06348
1533;20.2595;0;1.06317
1534;20.2571;0;1.06286
1535;20.2547;0;1.06255
1536;20.2523;0;1.06224
1537;20.2499;0;1.06193
1538;20.2476;0;1.06163
1539;20.2452;0;1.06132
1540;20.2429;0;1.06102
1541;20.2406;0;1.06072
1542;20.2384;0;1.06042
1543;20.2361;0;1.06012
1544;20.2339;0;1.05983
1545;20.2317;0;1.05953
1546;20.2295;0;1.05924
1547;20.2273;0;1.05895
1548;20.2252;0;1.05866
1549;20.223;0;1.05837
1550;20.2209;0;1.05808
1551;20.2188;0;1.05779
1552;20.2168;0;1.05751
1553;20.2147;0;1.05723
1554;20.2127;0;1.05694
1555;20.2107;0;1.05666
1556;20.2087;0;1.05638
1557;20.2067;0;1.05611
1558;20.2047;0;1.05583
1559;20.2028;0;1.05555
1560;20.2009;0;1.05528
1561;20.199;0;1.05501
1562;20.1971;0;1.05474
1563;20.1952;0;1.05447
1564;20.1934;0;1.0542
1565;20.1915;0;1.05393
1566;20.1897;0;1.05366
1567;20.1879;0;1.0534
1568;20.1861;0;1.05313
1569;20.1844;0;1.05287
1570;20.1826;0;1.05261
1571;20.1809;0;1.05235
1572;20.1792;0;1.05209
1573;20.1775;0;1.05184
1574;20.1758;0;1.05158
1575;20.1741;0;1.05133
1576;20.1724;0;1.05107
1577;20.1708;0;1.05082
1578;20.1692;0;1.05057
1579;20.1676;0;1.05032
1580;20.166;0;1.05007
1581;20.1644;0;1.04982
1582;20.1628;0;1.04958
1583;20.1613;0;1.04933
1584;20.1597;0;1.04909
1585;20.1582;0;1.04885
1586;20.1567;0;1.04861
1587;20.1552;0;1.04837
1588;20.1537;0;1.04813
1589;20.1523;0;1.04789
1590;20.1508;0;1.04765
1591;20.1494;0;1.04742
1592;20.1479;0;1.04718
1593;20.1465;0;1.04695
1594;20.1451;0;1.04672
1595;20.1437;0;1.04649
1596;20.1424;0;1.04626
1597;20.141;0;1.04603
1598;20.1397;0;1.0458
1599;20.1383;0;1.04557
1600;20.137;0;1.04535
1601;20.1357;0;1.04512
1602;20.1344;0;1.0449
1603;20.1331;0;1.04468
1604;20.1318;0;1.04446
1605;20.1306;0;1.04424
1606;20.1293;0;1.04402
1607;20.1281;0;1.0438
1608;20.1268;0;1.04358
1609;20.1256;0;1.04337
1610;20.1244;0;1.04315
1611;20.1232;0;1.04294
1612;20.1221;0;1.04273
1613;20.1209;0;1.04252
1614;20.1197;0;1.04231
1615;20.1186;0;1.0421
1616;20.1174;0;1.04189
1617;20.1163;0;1.04168
1618;20.1152;0;1.04148
1619;20.1141;0;1.04127
1620;20.113;0;1.04107
1621;20.1119;0;1.04086
1622;20.1108;0;1.04066
1623;20.1098;0;1.04046
1624;20.1087;0;1.04026
1625;20.1077;0;1.04006
1626;20.1066;0;1.03986
1627;20.1056;0;1.03966
1628;20.1046;0;1.03947
1629;20.1036;0;1.03927
1630;20.1026;0;1.03908
1631;20.1016;0;1.03888
1632;20.1006;0;1.03869
1633;20.0996;0;1.0385
1634;20.0987;0;1.03831
1635;20.0977;0;1.03812
1636;20.0968;0;1.03793
1637;20.0959;0;1.03774
1638;20.0949;0;1.03756
1639;20.094;0;1.03737
1640;20.0931;0;1.03719
1641;20.0922;0;1.037
1642;20.0913;0;1.03682
1643;20.0905;0;1.03664
1644;20.0896;0;1.03645
1645;20.0887;0;1.03627
1646;20.0879;0;1.03609
1647;20.087;0;1.03591
1648;20.0862;0;1.03574
1649;20.0853;0;1.03556
1650;20.0845;0;1.03538
1651;20.0837;0;1.03521
1652;20.0829;0;1.03503
1653;20.0821;0;1.03486
1654;20.0813;0;1.03469
1655;20.0805;0;1.03451
1656;20.0797;0;1.03434
1657;20.079;0;1.03417
1658;20.0782;0;1.034
1659;20.0774;0;1.03384
1660;20.0767;0;1.03367
1661;20.0759;0;1.0335
1662;20.0752;0;1.03333
1663;20.0745;0;1.03317
1664;20.0738;0;1.033
1665;20.073;0;1.03284
1666;20.0723;0;1.03268
1667;20.0716;0;1.03252
1668;20.0709;0;1.03235
1669;20.0703;0;1.03219
1670;20.0696;0;1.03203
1671;20.0689;0;1.03188
1672;20.0682;0;1.03172
1673;20.0676;0;1.03156
1674;20.0669;0;1.0314
1675;20.0663;0;1.03125
1676;20.0656;0;1.03109
1677;20.065;0;1.03094
1678;20.0644;0;1.03079
1679;20.0637;0;1.03063
1680;20.0631;0;1.03048
1681;20.0625;0;1.03033
1682;20.0619;0;1.03018
1683;20.0613;0;1.03003
1684;20.0607;0;1.02988
1685;20.0601;0;1.02973
1686;20.0595;0;1.02958
1687;20.059;0;1.02944
1688;20.0584;0;1.02929
1689;20.0578;0;1.02915
1690;20.0572;0;1.029
1691;20.0567;0;1.02886
1692;20.0561;0;1.02871
1693;20.0556;0;1.02857
1694;20.0551;0;1.02843
1695;20.0545;0;1.02829
1696;20.054;0;1.02815
1697;20.0535;0;1.02801
1698;20.0529;0;1.02787
1699;20.0524;0;1.02773
